Simulation,f_r_b,f_b_r,log10_f_r_b,log10_f_b_r
1,5.61151641533451e-05,6.351221010640693e-06,-4.250919762305275,-5.197142774360335
2,0.00029106359131330674,2.48104097486781e-07,-3.53601211637719,-6.605366063211854
3,2.0513382630874486e-05,4.20705395028794e-09,-4.687962719115127,-8.376021918655189
4,1.3066739238053285e-05,2.9154431891537495e-06,-4.883832775663601,-5.53529541690026
5,0.00015930522616241,6.796578090758151e-07,-3.7977699765135826,-6.167709688815818
6,1.0994335574766197e-05,7.579479953347986e-06,-4.958831011408395,-5.120360591352023
7,0.0004622589001020828,7.0689749506246154e-09,-3.3351147183991565,-8.150643557286894
8,2.3102018878452953e-05,5.4152441194025255e-09,-4.636350065585798,-8.266381960586266
9,4.059611610484304e-05,1.2561043700013568e-07,-4.3915155140809246,-6.900974273471048
10,7.309539835912905e-05,1.461896279370497e-08,-4.136109962715769,-7.835083439207832
11,0.00016738085788752132,3.61389427121653e-09,-3.776294210555241,-8.442024557391832
12,3.8396292998041664e-05,2.92043384718141e-08,-4.415710702929564,-7.534552626825233
13,8.16845589476017e-05,1.3826232179369855e-06,-4.087860031565928,-5.859296154427946
14,2.508115686045231e-05,1.1400863701127327e-07,-4.600652435683281,-6.943062246345553
15,0.00015304852121831469,1.5339162591163634e-09,-3.815170862275915,-8.814198349120009
16,0.00016409286730647914,4.809461967501568e-09,-3.7849102961971233,-8.317903505250834
17,1.3492834268013246e-05,6.2451395747430574e-06,-4.869896814029441,-5.2044578509866675
18,0.0008536189862866826,1.7123375973163986e-06,-3.0687359338508813,-5.766410607534155
19,4.066563313514792e-05,2.45860327632801e-09,-4.390772461653259,-8.609311543974464
20,0.0002335963502626158,5.762487216478597e-08,-3.6315339469756864,-7.239390025041595
21,1.754189348745081e-05,9.565499215943818e-08,-4.755923530310442,-7.019292359554919
22,1.1715937392307055e-05,4.337920697490931e-06,-4.931222957769563,-5.362718391684872
23,3.2927591344236157e-05,4.4677528179739037e-07,-4.482440036799966,-6.349910862584072
24,4.201672054372531e-05,1.2030178871154663e-07,-4.376577847821178,-6.919727915288757
25,0.0001239996783684609,5.488047000766047e-09,-3.9065794413134407,-8.260582177897891
26,0.0008692991511139547,1.2604664585649453e-06,-3.060830744470883,-5.899468706555542
27,0.000756829206016762,3.795853142670642e-06,-3.1210021168716215,-5.420690598289404
28,0.00015696396388661132,4.8696409415208966e-06,-3.80420004237783,-5.312503059907533
29,1.5030900645056825e-05,6.080390190296606e-09,-4.823014995896161,-8.216068550323419
30,1.2315571723666005e-05,2.001342062287999e-08,-4.909545422178924,-7.698678676946942
31,5.989003672254302e-05,1.217295809836995e-08,-4.222645420621036,-7.914603872904417
32,0.00045443839603360146,2.6730883107816718e-08,-3.3425249816961413,-7.572986693225642
33,3.646439558980716e-05,1.481782060603909e-07,-4.438130980625239,-6.829215667367006
34,1.913588048769228e-05,1.6172900811143131e-06,-4.718151550050475,-5.791212076983841
35,1.4096175149815853e-05,8.862326508576248e-06,-4.850898712640459,-5.052452253597931
36,0.0003503398491158686,6.235377135673142e-09,-3.455510461406685,-8.205137273863311
37,1.0257563974185649e-05,1.8274508859816025e-06,-4.988955765752795,-5.738154286180663
38,0.0002592475660475159,8.241925264876443e-07,-3.5862853123047658,-6.083971327836051
39,0.0003487712624545928,1.9777828512462736e-09,-3.4574593066281087,-8.703821393063638
40,5.211124595788266e-05,2.9072088906598438e-09,-4.283068542911455,-8.536523761899481
41,0.00053236175947515,3.113095956122122e-07,-3.2737931482488127,-6.506807492689768
42,4.589824181495648e-05,1.7956984225677646e-09,-4.338203950294702,-8.745766598855905
43,4.187594718900626e-05,1.998634077852887e-08,-4.378035356568676,-7.699266711893012
44,0.0002878805718308923,3.5500125258511626e-07,-3.540787643323872,-6.449770114579147
45,0.0005948746813219771,7.74211647399625e-08,-3.225574514847347,-7.111140299352202
46,1.734556664236095e-05,7.128188058401358e-07,-4.760811508123396,-6.14702085110802
47,0.0003323304206226791,1.7583640270008521e-07,-3.478429902766205,-6.754891209722015
48,0.0003482846706526883,9.444574254983556e-08,-3.458065640090878,-7.024817614542437
49,0.00011103647313054626,5.130551760589827e-08,-3.9545343412360117,-7.289835926565802
50,1.1241862095793053e-05,2.701255772543901e-09,-4.94916174651181,-8.568434292026783
51,1.1557352816269858e-05,3.512704726270848e-07,-4.937141628626532,-6.454358354944878
52,4.253162363790871e-05,1.0821382910613984e-07,-4.371288037847346,-6.965717235341189
53,0.0006533305220227736,9.935023909063691e-09,-3.1848670521478137,-8.0028310834045
54,6.618595597183471e-05,1.0524574681335627e-06,-4.179234153928741,-5.977795445827805
55,2.8681134821030068e-05,2.0319809838424956e-09,-4.542403669016755,-8.692080360684828
56,3.797544798678417e-05,4.414536876494478e-09,-4.420497094172464,-8.355114850983982
57,0.0007234279845665416,1.707975034295822e-06,-3.140604695314854,-5.767518481742332
58,0.00018484491720988626,3.0608522106722467e-06,-3.733192486979153,-5.514157639249129
59,0.00040489662225846705,5.575453980775363e-09,-3.3926558462017713,-8.253719764455857
60,0.0006097025297491433,1.4367095138664203e-07,-3.2148820030200445,-6.842631032337398
61,0.00041198396246051877,3.840300419098856e-06,-3.3851196896718747,-5.415634800306027
62,4.3252075253865245e-05,2.7555462077796673e-09,-4.363993050056273,-8.559792301889292
63,2.8567374298471882e-05,5.110120656497155e-08,-4.544129674916117,-7.291568845494975
64,0.0004325432427964557,2.7728241828010596e-06,-3.3639704681550135,-5.557077666974626
65,1.032533761648204e-05,1.1040511903162241e-07,-4.986095738937618,-6.957010789689737
66,6.83631406502272e-05,7.734482156646799e-09,-4.165177993702442,-8.111568758117079
67,1.7367237151593165e-05,2.2410971619109502e-08,-4.760269265332634,-7.649539314385488
68,0.000768810680147495,1.9625093208439855e-08,-3.1141805921749617,-7.707188271916979
69,0.00010903884523201114,6.487477066058674e-07,-3.9624187565132676,-6.187924164419289
70,5.3365330663796096e-05,7.711312991331103e-06,-4.272740795241412,-5.112871669116157
71,0.0008411909465645716,1.0165510266418728e-08,-3.0751054101157775,-7.992870816698543
72,9.874088417386254e-05,1.5977662354833848e-08,-4.005502988215229,-7.796486760732922
73,3.712624179040535e-05,1.404584234402467e-09,-4.430319011245064,-8.85245221058187
