Simulation,f_r_b,f_b_r,log10_f_r_b,log10_f_b_r
1,3.14891164795686e-05,0.0006351221010640693,-4.50183952461055,-3.1971427743603353
2,0.0008471801418819973,2.4810409748678097e-05,-3.0720242327543796,-4.605366063211854
3,4.20798866960663e-06,4.20705395028794e-07,-5.375925438230254,-6.376021918655189
4,1.7073967431528133e-06,0.00029154431891537525,-5.767665551327202,-3.5352954169002593
5,0.0002537815508265663,6.796578090758151e-05,-3.595539953027165,-4.167709688815818
6,1.2087541473056954e-06,0.0007579479953347994,-5.91766202281679,-3.1203605913520227
7,0.002136832907235874,7.068974950624601e-07,-2.670229436798313,-6.150643557286895
8,5.337032762603956e-06,5.415244119402536e-07,-5.2727001311715975,-6.266381960586265
9,1.6480446427978967e-05,1.2561043700013567e-05,-4.783031028161849,-4.900974273471048
10,5.3429372612797665e-05,1.4618962793704972e-06,-4.272219925431537,-5.835083439207832
11,0.0002801635158716258,3.61389427121653e-07,-3.552588421110482,-6.442024557391832
12,1.4742753159914664e-05,2.92043384718141e-06,-4.831421405859127,-5.534552626825233
13,6.672367170464204e-05,0.00013826232179369854,-4.175720063131856,-3.8592961544279456
14,6.2906442945861395e-06,1.1400863701127328e-05,-5.2013048713665615,-4.943062246345553
15,0.000234238498471129,1.5339162591163635e-07,-3.63034172455183,-6.814198349120009
16,0.0002692646910086177,4.809461967501567e-07,-3.5698205923942465,-6.317903505250834
17,1.8205657658407253e-06,0.0006245139574743064,-5.739793628058882,-3.204457850986667
18,0.007286653737491036,0.00017123375973163968,-2.1374718677017626,-3.7664106075341555
19,1.65369371828244e-05,2.458603276328005e-07,-4.781544923306518,-6.6093115439744645
20,0.0005456725485601474,5.762487216478598e-06,-3.2630678939513724,-5.239390025041595
21,3.077180271250685e-06,9.565499215943817e-06,-5.511847060620885,-5.019292359554919
22,1.3726318898045866e-06,0.00043379206974909356,-5.862445915539126,-3.3627183916848717
23,1.0842262717330157e-05,4.467752817973903e-05,-4.964880073599932,-4.349910862584072
24,1.7654048052495082e-05,1.2030178871154662e-05,-4.753155695642356,-4.919727915288757
25,0.00015375920235481748,5.488047000766048e-07,-3.8131588826268814,-6.260582177897891
26,0.0075568101412744225,0.00012604664585649453,-2.1216614889417658,-3.899468706555542
27,0.005727904470799618,0.00037958531426706386,-2.2420042337432435,-3.4206905982894047
28,0.0002463768595899745,0.0004869640941520897,-3.6084000847556594,-3.3125030599075327
29,2.259279742015697e-06,6.080390190296606e-07,-5.646029991792322,-6.216068550323419
30,1.51673306880762e-06,2.001342062287999e-06,-5.819090844357848,-5.698678676946942
31,3.586816498627551e-05,1.217295809836995e-06,-4.4452908412420715,-5.914603872904417
32,0.002065142557895924,2.6730883107816717e-06,-2.6850499633922826,-5.572986693225642
33,1.3296521457299508e-05,1.481782060603909e-05,-4.876261961250477,-4.829215667367006
34,3.6618192203924283e-06,0.0001617290081114313,-5.436303100100949,-3.7912120769838413
35,1.9870215385428602e-06,0.0008862326508576248,-5.701797425280917,-3.052452253597931
36,0.0012273800987852958,6.235377135673155e-07,-2.9110209228133703,-6.20513727386331
37,1.0521761868451128e-06,0.00018274508859816006,-5.97791153150559,-3.7381542861806634
38,0.0006720930050156109,8.241925264876443e-05,-3.1725706246095315,-4.083971327836051
39,0.0012164139351417056,1.9777828512462736e-07,-2.914918613256217,-6.703821393063638
40,2.7155819552829416e-05,2.9072088906598434e-07,-4.566137085822909,-6.536523761899481
41,0.0028340904295147728,3.113095956122122e-05,-2.547586296497626,-4.506807492689768
42,2.1066486017042192e-05,1.7956984225677644e-07,-4.676407900589403,-6.745766598855905
43,1.753594952976441e-05,1.998634077852887e-06,-4.756070713137351,-5.699266711893012
44,0.0008287522363768153,3.550012525851163e-05,-3.0815752866477437,-4.449770114579147
45,0.003538758864779238,7.74211647399625e-06,-2.451149029694694,-5.111140299352202
46,3.0086868214458435e-06,7.128188058401357e-05,-5.521623016246793,-4.14702085110802
47,0.0011044350847124681,1.758364027000852e-05,-2.9568598055324102,-4.754891209722015
48,0.0012130221181165155,9.444574254983556e-06,-2.916131280181756,-5.024817614542437
49,0.00012329098365270507,5.130551760589826e-06,-3.9090686824720238,-5.289835926565802
50,1.2637946338082856e-06,2.7012557725439067e-07,-5.89832349302362,-6.568434292026782
51,1.335724041197408e-06,3.512704726270848e-05,-5.874283257253063,-4.454358354944878
52,1.808939009276715e-05,1.0821382910613983e-05,-4.742576075694693,-4.965717235341189
53,0.004268407710065494,9.935023909063692e-07,-2.369734104295628,-6.0028310834045
54,4.380580767905652e-05,0.00010524574681335626,-4.358468307857481,-3.9777954458278053
55,8.226074946221035e-06,2.0319809838424954e-07,-5.08480733803351,-6.6920803606848285
56,1.44213464979695e-05,4.4145368764944785e-07,-4.8409941883449275,-6.355114850983982
57,0.005233480488540084,0.00017079750342958219,-2.2812093906297077,-3.767518481742332
58,0.00034167643418329664,0.0003060852210672247,-3.466384973958306,-3.514157639249129
59,0.0016394127471631593,5.575453980775363e-07,-2.785311692403542,-6.253719764455857
60,0.0037173717478250485,1.4367095138664203e-05,-2.429764006040089,-4.842631032337398
61,0.0016973078532466998,0.00038403004190988517,-2.77023937934375,-3.415634800306027
62,1.870742013766026e-05,2.755546207779662e-07,-4.7279861001125445,-6.559792301889293
63,8.160948743089919e-06,5.110120656497156e-06,-5.088259349832233,-5.291568845494975
64,0.0018709365688887344,0.0002772824182801059,-2.7279409363100275,-3.5570776669746262
65,1.06612596894339e-06,1.1040511903162242e-05,-5.972191477875237,-4.957010789689737
66,4.673518999562747e-05,7.734482156646798e-07,-4.330355987404884,-6.111568758117079
67,3.016209262796779e-06,2.2410971619109503e-06,-5.520538530665268,-5.649539314385488
68,0.00591069861908854,1.9625093208439855e-06,-2.2283611843499234,-5.707188271916979
69,0.00011889469769530466,6.487477066058674e-05,-3.9248375130265356,-4.187924164419289
70,2.847858516856296e-05,0.0007711312991331104,-4.545481590482824,-3.1128716691161573
71,0.007076022085821999,1.0165510266418728e-06,-2.150210820231555,-5.992870816698543
72,9.749762207436119e-05,1.5977662354833848e-06,-4.011005976430458,-5.796486760732922
73,1.3783578294796378e-05,1.40458423440247e-07,-4.8606380224901296,-6.852452210581869
74,0.0002743199139779667,1.0249816559563216e-05,-3.5617426640804126,-4.989283907084554
75,1.6066267921727693e-06,1.3019246714361582e-06,-5.794084995000043,-5.885414143053554
76,0.004295992790539123,9.083381663660572e-07,-2.366936456133385,-6.041752437332111
