Simulation,f_r_b,f_b_r,log10_f_r_b,log10_f_b_r
1,5.61151641533451e-05,7.969454818643928e-06,-4.250919762305275,-5.098571387180168
2,0.00029106359131330674,1.5751320499779725e-06,-3.53601211637719,-5.802683031605927
3,2.0513382630874486e-05,2.051110418843398e-07,-4.687962719115127,-6.6880109593275945
4,1.3066739238053285e-05,5.399484409787428e-06,-4.883832775663601,-5.26764770845013
5,0.00015930522616241,2.6070247583707633e-06,-3.7977699765135826,-5.5838548444079095
6,1.0994335574766197e-05,8.706020878304845e-06,-4.958831011408395,-5.060180295676012
7,0.0004622589001020828,2.658754398327272e-07,-3.3351147183991565,-6.575321778643447
8,2.3102018878452953e-05,2.3270677083837773e-07,-4.636350065585798,-6.633190980293133
9,4.059611610484304e-05,1.1207606211860573e-06,-4.3915155140809246,-5.950487136735524
10,7.309539835912905e-05,3.823475224675187e-07,-4.136109962715769,-6.417541719603916
11,0.00016738085788752132,1.9010245319870363e-07,-3.776294210555241,-6.721012278695916
12,3.8396292998041664e-05,5.404103854647327e-07,-4.415710702929564,-6.267276313412617
13,8.16845589476017e-05,3.7183641805732104e-06,-4.087860031565928,-5.429648077213972
14,2.508115686045231e-05,1.0677482709481354e-06,-4.600652435683281,-5.971531123172777
15,0.00015304852121831469,1.2385137298860936e-07,-3.815170862275915,-6.907099174560004
16,0.00016409286730647914,2.1930485556643673e-07,-3.7849102961971233,-6.658951752625417
17,1.3492834268013246e-05,7.902619549708221e-06,-4.869896814029441,-5.102228925493334
18,0.0008536189862866826,4.138040112561016e-06,-3.0687359338508813,-5.3832053037670775
19,4.066563313514792e-05,1.5679933916723023e-07,-4.390772461653259,-6.804655771987232
20,0.0002335963502626158,7.5911048052827e-07,-3.6315339469756864,-6.119695012520797
21,1.754189348745081e-05,9.780337016659404e-07,-4.755923530310442,-6.00964617977746
22,1.1715937392307055e-05,6.586289317583104e-06,-4.931222957769563,-5.181359195842436
23,3.2927591344236157e-05,2.113705944064574e-06,-4.482440036799966,-5.674955431292036
24,4.201672054372531e-05,1.0968217207529518e-06,-4.376577847821178,-5.959863957644378
25,0.0001239996783684609,2.342658105820405e-07,-3.9065794413134407,-6.630291088948946
26,0.0008692991511139547,3.550304858128306e-06,-3.060830744470883,-5.449734353277771
27,0.000756829206016762,6.161049539380967e-06,-3.1210021168716215,-5.210345299144702
28,0.00015696396388661132,6.978281265126032e-06,-3.80420004237783,-5.156251529953766
29,1.5030900645056825e-05,2.465844721448738e-07,-4.823014995896161,-6.608034275161709
30,1.2315571723666005e-05,4.4736361746212656e-07,-4.909545422178924,-6.349339338473471
31,5.989003672254302e-05,3.4889766548903633e-07,-4.222645420621036,-6.457301936452208
32,0.00045443839603360146,5.170191786366993e-07,-3.3425249816961413,-6.286493346612821
33,3.646439558980716e-05,1.2172847081122433e-06,-4.438130980625239,-5.914607833683503
